UniversalTimestamp;LocalTimestamp;EDA
636933359519691337;13.05.2019 11:19:11;332
636933359520316221;13.05.2019 11:19:12;332
636933359520784831;13.05.2019 11:19:12;332
636933359521254726;13.05.2019 11:19:12;332
636933359521723372;13.05.2019 11:19:12;332
636933359522191092;13.05.2019 11:19:12;333
636933359522816859;13.05.2019 11:19:12;331
636933359523285461;13.05.2019 11:19:12;331
636933359523754107;13.05.2019 11:19:12;331
636933359524223091;13.05.2019 11:19:12;331
636933359524691750;13.05.2019 11:19:12;330
636933359525317836;13.05.2019 11:19:12;330
636933359525787413;13.05.2019 11:19:12;329
636933359526256056;13.05.2019 11:19:12;329
636933359526724699;13.05.2019 11:19:12;328
636933359527349549;13.05.2019 11:19:12;327
636933359527818198;13.05.2019 11:19:12;326
636933359528286832;13.05.2019 11:19:12;325
636933359528755467;13.05.2019 11:19:12;324
636933359529224113;13.05.2019 11:19:12;323
636933359530161726;13.05.2019 11:19:13;322
636933359530317021;13.05.2019 11:19:13;321
636933359530789227;13.05.2019 11:19:13;319
636933359531258275;13.05.2019 11:19:13;319
636933359531730243;13.05.2019 11:19:13;318
636933359532356456;13.05.2019 11:19:13;316
636933359532825082;13.05.2019 11:19:13;315
636933359533293836;13.05.2019 11:19:13;316
636933359533762413;13.05.2019 11:19:13;314
636933359534387268;13.05.2019 11:19:13;312
636933359534854911;13.05.2019 11:19:13;312
636933359535324546;13.05.2019 11:19:13;311
636933359535793184;13.05.2019 11:19:13;311
636933359536418051;13.05.2019 11:19:13;310
636933359536886699;13.05.2019 11:19:13;309
636933359537355323;13.05.2019 11:19:13;309
636933359537823977;13.05.2019 11:19:13;308
636933359538293961;13.05.2019 11:19:13;307
636933359538919290;13.05.2019 11:19:13;307
636933359539388169;13.05.2019 11:19:13;307
636933359539857422;13.05.2019 11:19:13;307
636933359540326533;13.05.2019 11:19:14;306
636933359540795251;13.05.2019 11:19:14;306
636933359541263849;13.05.2019 11:19:14;305
636933359541888699;13.05.2019 11:19:14;305
636933359542358595;13.05.2019 11:19:14;304
636933359542828163;13.05.2019 11:19:14;303
636933359543453454;13.05.2019 11:19:14;304
636933359543922044;13.05.2019 11:19:14;304
636933359544390679;13.05.2019 11:19:14;303
636933359544860890;13.05.2019 11:19:14;302
636933359545330833;13.05.2019 11:19:14;302
636933359545956054;13.05.2019 11:19:14;301
636933359546427155;13.05.2019 11:19:14;302
636933359546896668;13.05.2019 11:19:14;303
636933359547365311;13.05.2019 11:19:14;302
636933359547833948;13.05.2019 11:19:14;302
636933359548460397;13.05.2019 11:19:14;301
636933359548930051;13.05.2019 11:19:14;301
636933359549397694;13.05.2019 11:19:14;301
636933359549867246;13.05.2019 11:19:14;301
636933359550492559;13.05.2019 11:19:15;301
636933359550961232;13.05.2019 11:19:15;301
636933359551432089;13.05.2019 11:19:15;301
636933359551900724;13.05.2019 11:19:15;300
636933359552369458;13.05.2019 11:19:15;300
636933359552994250;13.05.2019 11:19:15;301
636933359553462145;13.05.2019 11:19:15;300
636933359553931536;13.05.2019 11:19:15;300
636933359554401121;13.05.2019 11:19:15;299
636933359554871089;13.05.2019 11:19:15;300
636933359555495922;13.05.2019 11:19:15;300
636933359555964621;13.05.2019 11:19:15;300
636933359556434643;13.05.2019 11:19:15;299
636933359556903286;13.05.2019 11:19:15;300
636933359557528092;13.05.2019 11:19:15;300
636933359557996760;13.05.2019 11:19:15;300
636933359558465392;13.05.2019 11:19:15;301
636933359558934013;13.05.2019 11:19:15;301
636933359559558863;13.05.2019 11:19:15;301
636933359560027506;13.05.2019 11:19:16;301
636933359560496138;13.05.2019 11:19:16;301
636933359560964781;13.05.2019 11:19:16;302
636933359561433422;13.05.2019 11:19:16;301
636933359562058274;13.05.2019 11:19:16;302
636933359562526912;13.05.2019 11:19:16;302
636933359562995502;13.05.2019 11:19:16;302
636933359563464129;13.05.2019 11:19:16;303
636933359563932750;13.05.2019 11:19:16;303
636933359564556963;13.05.2019 11:19:16;304
636933359565026246;13.05.2019 11:19:16;304
636933359565494880;13.05.2019 11:19:16;304
636933359565963523;13.05.2019 11:19:16;304
636933359566588373;13.05.2019 11:19:16;305
636933359567056462;13.05.2019 11:19:16;306
636933359567525704;13.05.2019 11:19:16;306
636933359567994325;13.05.2019 11:19:16;308
636933359568462951;13.05.2019 11:19:16;307
636933359569087785;13.05.2019 11:19:16;307
636933359569555514;13.05.2019 11:19:16;308
636933359570025124;13.05.2019 11:19:17;307
636933359570493764;13.05.2019 11:19:17;308
636933359570963684;13.05.2019 11:19:17;306
636933359571588529;13.05.2019 11:19:17;307
636933359572057188;13.05.2019 11:19:17;307
636933359572525809;13.05.2019 11:19:17;307
636933359572994480;13.05.2019 11:19:17;308
636933359573619258;13.05.2019 11:19:17;308
636933359574087901;13.05.2019 11:19:17;308
636933359574557821;13.05.2019 11:19:17;308
636933359575026459;13.05.2019 11:19:17;309
636933359575651312;13.05.2019 11:19:17;310
636933359576119955;13.05.2019 11:19:17;310
636933359576588645;13.05.2019 11:19:17;311
636933359577057294;13.05.2019 11:19:17;310
636933359577525934;13.05.2019 11:19:17;310
636933359578150803;13.05.2019 11:19:17;311
636933359578619419;13.05.2019 11:19:17;311
636933359579088059;13.05.2019 11:19:17;311
636933359579556697;13.05.2019 11:19:17;312
636933359580025334;13.05.2019 11:19:18;312
636933359580650148;13.05.2019 11:19:18;311
636933359581118772;13.05.2019 11:19:18;312
636933359581588808;13.05.2019 11:19:18;312
636933359582057446;13.05.2019 11:19:18;312
636933359582682299;13.05.2019 11:19:18;312
636933359583150945;13.05.2019 11:19:18;312
636933359583619527;13.05.2019 11:19:18;312
636933359584088175;13.05.2019 11:19:18;313
636933359584556857;13.05.2019 11:19:18;313
636933359585181707;13.05.2019 11:19:18;314
636933359585650356;13.05.2019 11:19:18;314
636933359586118935;13.05.2019 11:19:18;314
636933359586589044;13.05.2019 11:19:18;315
636933359587057693;13.05.2019 11:19:18;314
636933359587682512;13.05.2019 11:19:18;314
636933359588151139;13.05.2019 11:19:18;314
636933359588619768;13.05.2019 11:19:18;315
636933359589244959;13.05.2019 11:19:18;316
636933359589714513;13.05.2019 11:19:18;315
636933359590183154;13.05.2019 11:19:19;315
636933359590653149;13.05.2019 11:19:19;314
636933359591121800;13.05.2019 11:19:19;314
636933359591745949;13.05.2019 11:19:19;314
636933359592215315;13.05.2019 11:19:19;314
636933359592683945;13.05.2019 11:19:19;314
636933359593152596;13.05.2019 11:19:19;315
636933359593621197;13.05.2019 11:19:19;314
636933359594246056;13.05.2019 11:19:19;314
636933359594714702;13.05.2019 11:19:19;314
636933359595184688;13.05.2019 11:19:19;314
636933359595653337;13.05.2019 11:19:19;314
636933359596279509;13.05.2019 11:19:19;315
636933359596749543;13.05.2019 11:19:19;314
636933359597218186;13.05.2019 11:19:19;315
636933359597686884;13.05.2019 11:19:19;315
636933359598155463;13.05.2019 11:19:19;314
636933359598780330;13.05.2019 11:19:19;314
636933359599249062;13.05.2019 11:19:19;314
636933359599717652;13.05.2019 11:19:19;315
636933359600186320;13.05.2019 11:19:20;315
636933359600654875;13.05.2019 11:19:20;315
636933359601279788;13.05.2019 11:19:20;314
636933359601748423;13.05.2019 11:19:20;315
636933359602217061;13.05.2019 11:19:20;314
636933359602685715;13.05.2019 11:19:20;315
636933359603309584;13.05.2019 11:19:20;314
636933359603779144;13.05.2019 11:19:20;314
636933359604247832;13.05.2019 11:19:20;312
636933359604716417;13.05.2019 11:19:20;312
636933359605341278;13.05.2019 11:19:20;310
636933359605808995;13.05.2019 11:19:20;308
636933359606278547;13.05.2019 11:19:20;305
636933359606748420;13.05.2019 11:19:20;303
636933359607218396;13.05.2019 11:19:20;300
