UniversalTimestamp;LocalTimestamp;EDA
636930012756660948;09.05.2019 14:21:15;365
636930012757286757;09.05.2019 14:21:15;366
636930012757754433;09.05.2019 14:21:15;365
636930012758224282;09.05.2019 14:21:15;364
636930012758694147;09.05.2019 14:21:15;364
636930012759163823;09.05.2019 14:21:15;364
636930012759788887;09.05.2019 14:21:15;364
636930012760258841;09.05.2019 14:21:16;363
636930012760728501;09.05.2019 14:21:16;363
636930012761197188;09.05.2019 14:21:16;362
636930012761821988;09.05.2019 14:21:16;362
636930012762289631;09.05.2019 14:21:16;362
636930012762759269;09.05.2019 14:21:16;361
636930012763228251;09.05.2019 14:21:16;361
636930012763854464;09.05.2019 14:21:16;362
636930012764323124;09.05.2019 14:21:16;360
636930012764792640;09.05.2019 14:21:16;360
636930012765261291;09.05.2019 14:21:16;359
636930012765729042;09.05.2019 14:21:16;359
636930012766355114;09.05.2019 14:21:16;359
636930012766823774;09.05.2019 14:21:16;360
636930012767293717;09.05.2019 14:21:16;359
636930012767763371;09.05.2019 14:21:16;359
636930012768232244;09.05.2019 14:21:16;358
636930012768857344;09.05.2019 14:21:16;358
636930012769325757;09.05.2019 14:21:16;360
636930012769795273;09.05.2019 14:21:16;359
636930012770263930;09.05.2019 14:21:17;359
636930012770888248;09.05.2019 14:21:17;359
636930012771356529;09.05.2019 14:21:17;359
636930012771825169;09.05.2019 14:21:17;359
636930012772293859;09.05.2019 14:21:17;360
636930012772762453;09.05.2019 14:21:17;360
636930012773387782;09.05.2019 14:21:17;360
636930012773856162;09.05.2019 14:21:17;360
636930012774325459;09.05.2019 14:21:17;360
636930012774793640;09.05.2019 14:21:17;361
636930012775262280;09.05.2019 14:21:17;361
636930012775886765;09.05.2019 14:21:17;361
636930012776355402;09.05.2019 14:21:17;362
636930012776824913;09.05.2019 14:21:17;363
636930012777293916;09.05.2019 14:21:17;363
636930012777919996;09.05.2019 14:21:17;365
636930012778391147;09.05.2019 14:21:17;364
636930012778860904;09.05.2019 14:21:17;365
636930012779330567;09.05.2019 14:21:17;366
636930012779954417;09.05.2019 14:21:17;366
636930012780425168;09.05.2019 14:21:18;366
636930012780893801;09.05.2019 14:21:18;367
636930012781362399;09.05.2019 14:21:18;367
636930012781831073;09.05.2019 14:21:18;369
636930012782298844;09.05.2019 14:21:18;368
636930012782925301;09.05.2019 14:21:18;368
636930012783394853;09.05.2019 14:21:18;369
636930012783863524;09.05.2019 14:21:18;369
636930012784331297;09.05.2019 14:21:18;370
636930012784958621;09.05.2019 14:21:18;370
636930012785428154;09.05.2019 14:21:18;370
636930012785896863;09.05.2019 14:21:18;370
636930012786365498;09.05.2019 14:21:18;371
636930012786990324;09.05.2019 14:21:18;371
636930012787458964;09.05.2019 14:21:18;372
636930012787927607;09.05.2019 14:21:18;372
636930012788397478;09.05.2019 14:21:18;372
636930012788866312;09.05.2019 14:21:18;372
636930012789490977;09.05.2019 14:21:18;373
636930012789959573;09.05.2019 14:21:18;373
636930012790428216;09.05.2019 14:21:19;374
636930012790896845;09.05.2019 14:21:19;374
636930012791364951;09.05.2019 14:21:19;373
636930012791990336;09.05.2019 14:21:19;375
636930012792458109;09.05.2019 14:21:19;374
636930012792927653;09.05.2019 14:21:19;375
636930012793396310;09.05.2019 14:21:19;375
636930012794020232;09.05.2019 14:21:19;376
636930012794489806;09.05.2019 14:21:19;377
636930012794958436;09.05.2019 14:21:19;377
636930012795427361;09.05.2019 14:21:19;377
636930012795896947;09.05.2019 14:21:19;378
636930012796520874;09.05.2019 14:21:19;378
636930012796990445;09.05.2019 14:21:19;378
636930012797459083;09.05.2019 14:21:19;378
636930012797927718;09.05.2019 14:21:19;379
636930012798396361;09.05.2019 14:21:19;379
636930012799021220;09.05.2019 14:21:19;381
636930012799489857;09.05.2019 14:21:19;380
636930012799958592;09.05.2019 14:21:19;381
636930012800427208;09.05.2019 14:21:20;381
636930012801051060;09.05.2019 14:21:20;381
636930012801519698;09.05.2019 14:21:20;382
636930012801989336;09.05.2019 14:21:20;382
636930012802457976;09.05.2019 14:21:20;383
636930012803082832;09.05.2019 14:21:20;383
636930012803550481;09.05.2019 14:21:20;384
636930012804019110;09.05.2019 14:21:20;384
636930012804488645;09.05.2019 14:21:20;384
636930012804956721;09.05.2019 14:21:20;385
636930012805581302;09.05.2019 14:21:20;386
636930012806049890;09.05.2019 14:21:20;385
